text,Y
i was put off at first by the green powder but it is not that bad there is a little of a grainy texture in the smoothie and it is a tad nutty but not a strong nut flavor i use a non dairy blue almond vanilla milk around oz bananas strawberries crushed icecubes and a couple scoops and blend it in the blender it is not that bad and if color is an issue and you have to have everything a pretty color than natural is not the road to go ,1
these ginger chews are too good to be true i try to limit myself to one a day or i could probably eat the whole box if you love the taste of peanuts and ginger there is no finer treat out there ,1
i love salt and use a variety of salts to keep my blood pressure up in the normal range this salt i think may be the same as that sold by david wolfe is longevitywarehouse but you get twice as much for roughly the same price not only are the descriptions similar but comparing the salts side by side they have the exact same color flavor texture grind fragrance etc in my opinion himalayan salt is definitely much cleaner than sea salt ever since the fukushima plant began leaking radiation into the pacific ocean last year if not before many people are unaware of this because the major television stations are not broadcasting information that would incriminate their owners but just google or youtube search if you want to know what is happening and what your government is not doing about it i definitely recommend boycotting major media and getting your news from alternative sources like enenews which covers what university professors and doctors say is the real truth if the sea salt was not harvested before fukushima started dumping nuclear waste it is just too risky to ingest this salt is from the himalayas which may be just as far from fukushima is dumping ground as you can get ,1
if asked to sum up this coffee pod drawer in one word sturdy would be my enthusiastic answer it is one hefty piece of metal sliding drawer perfection it weighed in at lbs oz on my postal scale the drawers slide in and out with barely a hitch large rubber feet on the bottom means it stays put on your counter the drawers have stops on the bottom so you will not accidentally pull them out completely and best of all k cups fit in perfectly nestling cozily in individual rows per drawer thanks to divider bars in each seriously you can not go wrong with this product if you have only a couple of boxes of k cups you need to store so much more attractive than boxes i do plan to eventually paint mine with metal spray paint to complement my kitchen is color scheme ,1
so far my dog has tried the chicken and peanut butter flavor and she absolutely loves them i love that they are natural and it makes me happy that i am giving my dog something healthy the treats themselves are small and soft a big plus is that they are only calories each ,1
this are so good the little ones are the best and there hard to find in san diego ca they only thing is there expensive at this place wish they would cut you a better deal but will still buy from time to time ,1
bought two cases did not realize it was in a case tried three cans large escargots delicious just make up butter seasoning a drop of wine optional put in baking dish and bake at min in degree over voila great appetizer and great price gave dozen to sister as a present she loved them i love them can imagine sitting on the champs eating a dozen with baguettes ,1
great product i use them on cakepops and they work great i have used other brands in the past with much disappointment i am so very happy i came across another customers review and decided to purchase these no bleeding and no mess ,1
 men is health magazine has been heralding nutritious foods for men of different ages for some time now almonds have conspicuously been high on their lists along with merlot wine and dark chocolate as a flavorful food high on the chart for heart health while i have implemented almonds in my diet for quite some time now i could not help but notice emerald is cocoa roast almonds are fresher and tastier than the bulk almonds i get at the grocery store with a hint of dark chocolate yet retaining a nutty roasted base these savory little nuggets make a good light snack high in vitamin e iron and calcium and having mostly good lipids fats almonds are a delicious way to keep a balanced diet do not expect cocoa roast almonds to be a total confection like chocolate covered raisins with only calories per ounce a little bit goes a long way having only the best ingredients these almonds are a great reward for all hard working people on the go with four canisters per order and oz each you can reward yourself nutritiously for an entire month nutrition is taste is value is overall stars ,1
i am very pleased with this product it is sooooooooooo huge i will not have to purchase this product for while thank you again rhonda m britton smile ,1
i recently ordered some shells in order to cook escargot from another website the frenchy bee poor quality alot of broken shells so i decided to order from this place since the reviews were much better i must say these are a better quality shell thicker than the previous ones and very few shells were chipped out of shells i had broken one chipped and that were non existent it only came with a total of shells it is a simple counting error i honestly would buy from them again because the quality was very good much better from the french bee they were a very very good price too ,1
i have used this flour primarily in bread recipes that call for a gluten free flour blend it has worked in a variety of recipes and is a staple in my gluten free baking ,1
i wanted to give these soy crisps more justice than just the stars and ordering them all the time i bought a bag of these sea salt flavor crisps and a bag of bbq crisps about a month ago in a bid to eat more healthy food i have always loved bbq chips especially ruffles and lays k c masterpiece chips but they have got to be killing me slowly right so i busted open the bbq soy crisps and gagged how could this be bbq they tasted like cardboard and i gave them to my friends who will eat anything i begrudgingly opened the sea salt bag and though more palatable i was still disappointed i know i thought you said stars it gets better anyway i had sworn off chips and midday snacking so for two weeks i saw nothing on the counter but genisoy soy crisps i would eat two or three here and there and when i ran out i bought bags of the sea salt flavor again what happened must be akin to rebooting your computer or defragging your hard drive my body forgot what those strong bbq flavored chips were like and i started craving soy crisps i began to taste a delicious roasted soybean flavor like those roasted and salted soy beans they sell in jars which i had completely missed before apparently because it was not a sweet red crusted overbearing bbq powder i polished the next bags off in three days now i am ordering here on amazon cheaper per bag than my local grocery store which seems to want to punish my wallet for trying to eat healthy food my advice is this give these soy crisps a chance but do not mix them in with your regular doritos and bbq ruffles or you will think they are awful stop eating for a month the oily bbq chips that have deadened your taste buds for years and reboot your taste buds with these markedly healthier chips you will feel better about snacking ,1
i have a fairly large bird feeder at the front of the porch and while the location is perfect my local nuthatches were dropping a hundred seeds a day beneath the feeder into the garden below i spent hours this summer weeding sprouting seeds and removing molding piles of shells however ater three weeks of using the seed hoop inch i wanted to be sure nearly all the seeds were caught i have not had to weed once what is more the birds have started using it as a second feeding station especially larger birds who found the perches too small on the original feeder excellent product ,1
i do not think i can go back to drinking anything else now well worth ordering with the subscribe and save purchase my husband and i both agree on this one smooth rich not bitter my new favorite ,1
an wonderful experience with this tea savvy flavor heralded to no other teas i have experienced a person needs to try this product ,1
this is very nice garlic powder the flavor can not be beat nor can the price perfect in just about anything from guacamole to soups and stews ,1
i got these on an impulse gold box item and i am really glad i did it is really sweet and milk chocolate tasting which normally i would not be into but with these it is quite good the candy cane pieces stick to the spoon you stir it with really badly though i keep packets in my office and one in my purse for when i need a pick me up i recommend this product ,1
this is the best instant coffee i have had i have tried folgers no good maxwell house a little better nescafe classico pretty darn good jacob is cronat gold is the best ,1
i love this oil i used it for cookies this christmas anything that calls for oil or butter you can use nutiva organic coconut oil it is nice to know that it is healthly for you i will buy again from this company thank you,1
a friend suggested this tea and i tasted some she had made into iced tea it was fantastic and i loved it i like it unsweetened but my husband is drinking it as well with sugar and he is enjoying it service was quick and we are enjoying our new summer tea ,1
turmeric has excellent health benefits and this brand is very tasty excellent source of raw turmeric it can be used for variety of dishes and gives a yellowish color using a small spoon of it daily will go a long way in great health highly recommended ,1
it smells a little funny but tastes fine and i like it for its health benefits ,1
i love the flower teasi purchase them often from may diffeernt sourcesthese seemed stale not a rich flavorthe box seemed like it had gotten wet and was mustyvery disapointed in the whole purchasethe tea pot was a very small cup of tea for only one,0
gatorade was an acquired taste for me but these days i can not stop drinking it it is full of electrolytes and it does indeed have very few calories especially when you consider how it helps you rehydrate at the same time you can drink this either cold from the refrigerator or warm from the shelf i like it either way and actually when i drink it warm the flavor tastes even better this pack comes in three flavors fruit punch lemon lime and grape the only negative i can think of is that this does have sugar and carbs in it if you have concerns about sugar in your diet you should talk to your physician before drinking this highly recommended ,1
this mustard has been a long time favorite of my family to me this mustard is all about ballpark hot dogs and pretzels it has good flavor and in our area it is just too hard to find in the grocery stores ,1
i like anchiovy a lot my husband and inlaws are spaniards who loves to eat anchiovy with bread pizza and salad and i like to make really good ceasar salad but in order to make a great dressing you have to have the best ingredients my number prefernce for anchiovy are from italy but i have to go to the italian store in a different city to get it and i have a back injury which stops me from driving around too much so i asked my friend from new jersey to bring me anchiovy the new york pizza shop uses in jersey she brought cento amd rolands both have a mild sweeter flavor and aroma and less salty these are close to the italian anchiovy that i prefer rolands is not sold in smaller tins you see once you open the anchiovy in the big tim you have to put the rest it in a glass container with lots of olive oil and vacuum it or else it will change in flavor and spoil faster well i dont have a vacuum container so i chose cento instead it comes in small tin and its from morocco i am glad amazon sells it and i love the subscription so i dont have to worry about running out ,1
this is a great and attentive company attends to your emails and concerns however this particular fish is somewhat dry for king salmon it is supposed to be oily this is not the fish comes in a pouch more like canned tuna it is just ok but i would not purchase this again for the price very similar to chicken of the sea tuna ,0
recently could not find this and bought kal brand instead sweet leaf tastes the best i do not do artificial flavors so i have only tried the clear love it in my coffee ,1
i have used this in protein shakes and on sandwiches for years its an amazing alternative to peanutbutter to save calories without sacrificing taste,1
these beans arrived promptly and as others have said were plump and have a nice aroma the price was so reasonable that it encouraged me to try them in many different ways so far i have made a batch of kahlua a batch of vanilla extract and a batch of homemade granola using these beans and still have left i am going to chop a bean up finely and add it to the heated milk i use for homemade yogurt i am guessing that will be yummy very pleased with this purchase the quality is superb for those having storage issues the proper way to store vanilla beans is to wrap each vanilla bean separately in plastic wrap expelling all the air and then put all the wrapped beans in a plastic bag also expelling all the air and store in your pantry or other dark cool location every month take the beans out unwrap them let them air for minutes or so then wrap back up and store i have never had one go bad doing this ,1
pork chops can be intimidating your classic chop is a very lean piece of meat that can dry out very quickly especially if you are concerned about ensuring that the meat is well done because after all it is pork there are a couple ways around this problem one is to substitute a less lean cut of pork the less lean pork is far less expensive and has more flavor on it is own but it is also fairly fatty another way is to plan ahead and soak your chops in a seasoned brine over night a third way is to bread your chops and that is where shake n bake comes in now first off i advise strongly not to use this product with shoulder steaks or blade steaks use rib chops the shake n bake mix includes fat to keep the breading from sticking to the pan so it works best with very lean pork second do not oil or grease your pan do you need to shake in a bag well you could just dredge but when you shake in a bag you get all the sides coated not just the big sides i was able to coat four rib chops and had some coating left resist the urge to sprinkle it on the already breaded chops it will not bake properly if you do that if you disregarded my advice and bought pork blade steaks instead of chops you are probably not going to have enough breading for more than three as the blade steaks generally have more surface area than a rib chop does as for flavor this is a very traditional flavor much as i remembered from my youth it is quite obvious that we are talking about a cornmeal based breading with mild flavors such as onion and celery powder and only a hint of pepper if you like a little more bite you can add a couple extra shakes of black pepper to the mix if you want to make breaded pork chops from scratch you certainly can get some cornmeal and some seasonings do not forget to grease your pan if you do it yourself but you know what buying cornmeal and spices in bulk is not less expensive if you are not going to use them up before they loose their freshness shake n bake comes sealed in one meal sized packages and even if you want to adjust the seasoning it starts out from a nice baseline personally i like my pork chops grilled broiled is another good way but like i said earlier pork is very lean and it is easy to ruin it so if you are looking to get more lean pork into your diet the easy way is to go with breaded pork chops and shake n bake is the easiest way to do that but remember get rib chops do not substitute pork blade steaks for breaded pork chops that is the fast track to a meal that only gets or stars ,1
we have been buying these floppy discs for our australian shepard since he was months old he is now years old and going strong our only complaints are the price very expensive for a toy that does not hold up to normal dog use i buy them by the half dozen and have to replace them every year since he gets daily floppy disc time ,1
two jars of barlean is organic coconut oil arrived on time and in excellent condition with a sale date in all seals external and internal were intact upon opening no suspicious odor of any kind was noticed only a light coconut smell meets the nose however the oil currently well solid does not have a uniform appearance in places that might be due to proximity to the black jar in other places however swirls of oil seem denser or grayer or perhaps not as gelled any frequent user could tell me whether this is common with this product a call to the manufacturer is representative said comment could not be made unless the contents were seen and that i might easily return the jars to amazon which i would rather not do if it is able to be used thanks ,1
these were bought for a friend who used to get them all the time when he lived in california but hasnt been able to find them in the east he was thrilled to receive them and we enjoyed them as soon as they were chilled over pound cake and vanilla ice cream yummy and just last week he said he want to order another case ,1
i do not mind subtle but i thought outside of peppery on the back of the throat it seems quite tasteless i imagine some like it this way but i would like more green and olivevy ,0
this is a mild flavored and smooth textured brown rice it cooks up only slightly sticky so can be used in western dishes easily it is perfect for feeding to family members with a preference for white rice ,1
while i have liked the other products in this line using this was a disaster my scalp has been itchy with signs of dandruff and i thought since the other products were so helpful this would be good as well yikes for starters there are no directions on the jar so what to do it is very greasy but i took a handful and rubbed it into my scalp and massaged so far so good i left it on my scalp for the rest of the evening to give it a chance to work the horror started when i tried to wash it out after shampooing it three times i gave up and just let it dry the next morning i was a mass of greasy looking curls i will be washing my hair every day until i get rid of this but i certainly will not try it again ,0
ordered dozen red roses and was assured delivery by february not only did the roses never arrive but i have yet to recieve any replies to my enquieries horrible horrible service ,0
i bought this at quick trip the flavor is very good and not too sweet i was out within the hour this was very suprising i have taken sleeping pills in the past which gave me dry mouth or made me feel hung over this had no side effects since it worked so well i will buy a case ,1
i purchased these for my husbands candy bin in his office at work in case you wonder how many fireballs are in oz like i did there are fireballs in this bag i debated on purchasing this bag or the ct container and went with this size for easy transportation as we live overseas and i will pack these in my suitcase the price comparison is negligible with this bag being slightly cheaper these are very difficult to find in stores i searched costco super walmart smart final with no luck till i decided to just check and see if amazon carries them bingo ca not go wrong with amazon ,1
this product was fresh and was shipped very quickly it is so hard to find candy from my childhood in the stores anymore a vendor put them in our vending machine at work last year since then i have asked for them everytime i see them no luck so thank you very much for having such a great childhood memory sincerly jamie w kitty hawk nc,1
i love this coffee and got a good price on it shipping was very quick and easy i do not like the dark blends of coffee so i got the breakfast blend it is a medium blend will be buying more ,1
this has been a good substitute for wheat flour in quick breads like biscuits it helps to add some xanthum gum with it though because it can be a little crumbly ,1
i decided to try oil pulling and selected this coconut oil to try with i will say i am not sure if i buy into the whole coconut oil pulling thing but anything is worth a shot i found that it is best for me to put a glob of the oil under my tounge to melt just sticking a glob in my mouth on top of my tounge made me want to barf after it melts under my tounge i can swish it and the taste is very subtle it almost feels like i am just swishing saliva around i also decided to start incorporating this oil into my morning cup of coffee as i have seen other reviews mention it does not really add any taste but is an easy way to get this in my body also moisturizes my lips as i drink it yum i have not tried any other coconut oils but this seems to fit the bill no complaints ,1
buy this stuff all the time but i am not sure why anyone buys it off amazon because it is a box here and its a box at walmart ,1
i want to begin by saying that i am no cacao expert this is the first time i have tried it i wanted to try it for three reasons a trusted friend suggested it am always looking for healthy snacks to fill my day i am on the go constantly is supposed health benefits i am not saying it does or does not have them just alluding to the fact that i am no health nutritional expert so here is what i think these are going to be an acquired taste like beer actually they very much remind me of a red wine a burgundy maybe the bag even smells like wine when you open it up they are very tiny pieces they are very crunchy if you have teeth that are very sensitive i would think twice about getting these upon tasting them on the front of the palate it tasted very much like a red wine then slightly bitter and moving to the back of the palate it tasted very earthy and you got the flavor of cocoa powder then swallow you are going to want something to rinse it down it is a little grainy at that point i like the texture and i like the taste but then again i like wine i have mixed it into yogurt and i find it rather good you get less of the wine bitter flavors and more of the earthy and traditional cocoa powder flavors i use honey flavored greek yogurt i also eat them plain as little nibbles they do not bother me that way either a little wake me up if the flavor really offends you but you want the health benefits you can order organic sugar cacao nibs do an internet search they are tossed with organic cane syrup i will try those for a treat soon that is all i got cheers ,1
i really like this chocolate at it contains just a touch more cocao than most mid range milk chocolate bars because of that it is a little more bitter and a little stronger chocolate flavor but still creamy enough and sweet enough to be milk chocolate it has a nice snap when you break a cool bar and it takes a moment to warm up enough to start melting on your tongue when i eat good chocolate i let the first bite dissolve on my tongue to better appreciate the scent flavor and smoothness of it this one is very smooth it has a touch of lecithin which helps make for a smoother chocolate the rest of the ingredients are cocao milk sugar cocoa butter and vanilla the flavor is very nicely chocolate the wrapper says that there is a caramel flavor to it but for me it tasted more toasty with a rich liqueur finish the vanilla was barely noticeable but it did serve nicely as balance it makes for a bar that is rich without being too rich and it is just a touch bitter like a good semi sweet chocolate i gave a piece to my dad who really seems to think chocolate is a food group and he was less enthused he likes it well enough but thought it was just a little too bitter and prefers the lower cocoa higher milk and sugar bars made by other chocolatiers he said it is good not great but good ,1
i ate the last bowl today of whole grain kashi and the last shake of the box which had an experation date of october exposed the insect not sure what kind of bug it was but i know its not whole grain anything ,0
in my opinion this is the best pizza sauce moved away from chicago where we could get it at most any store now we have to buy it online tried other brands but nothing compares to pastorelli it is delicioso thank goodness for internet orders ,1
